ID,Q1,Q2,Q3,Q4,sum
1,20,20,21,13,74
2,16,20,26,10,72
3,14,20,9,6,49
4,20,20,28,27,95
5,20,20,27,17,84
6,20,20,21,13,74
7,14,20,5,4,43
8,8,20,14,4,46
9,14,12,20,8,54
10,12,12,8,0,32
11,20,20,21,15,76
12,12,20,4,18,54
13,16,20,4,0,40
14,14,20,21,14,69
15,18,20,12,14,64
16,10,0,4,4,18
17,12,20,25,16,73
18,12,20,8,12,52
19,16,20,17,15,68
20,10,20,9,7,46
21,16,20,9,5,50
22,18,20,23,8,69
23,20,20,21,25,86
24,14,20,23,10,67
25,,,,,
26,12,20,15,9,56
27,10,20,4,0,34
28,8,12,4,0,24
29,14,20,11,15,60
30,20,20,27,17,84
31,14,20,15,18,67
32,16,20,18,14,68
33,14,20,7,0,41
34,10,20,12,7,49
35,18,20,25,21,84
36,18,20,26,12,76
37,18,20,28,15,81
38,14,20,16,14,64
39,18,20,16,7,61
40,18,20,16,14,68
41,20,20,15,21,76
42,,,,,
43,10,20,9,4,43
44,12,20,18,13,63
45,18,20,16,0,54
46,14,20,15,4,53
47,12,20,10,5,47
48,14,20,18,4,56
49,20,20,22,13,75
50,10,20,22,10,62
51,18,20,21,12,71
52,14,20,4,0,38
53,16,20,11,7,54
54,16,20,27,19,82
55,14,20,21,12,67
56,6,20,7,6,39
57,16,20,7,10,53
58,14,20,7,11,52
59,16,20,11,15,62
60,20,20,6,4,50
61,18,12,7,0,37
62,18,20,27,21,86
63,18,12,25,0,55
64,16,20,19,9,64
65,20,20,25,22,87
66,10,20,11,10,51
67,18,20,20,5,63
68,14,20,30,11,75
69,14,20,2,23,59
70,16,20,17,7,60
71,,,,,
72,18,20,30,16,84
73,18,0,14,0,32
74,14,0,16,18,48
75,12,20,8,0,40
76,14,20,19,7,60
77,14,20,8,2,44
78,18,20,6,11,55
79,14,20,16,21,71
80,16,20,14,0,50
81,6,20,9,4,39
82,12,20,0,0,32
83,18,20,14,2,54
84,10,20,0,0,30
85,16,20,0,0,36
86,18,20,30,20,88
87,14,12,4,4,34
88,18,20,27,16,81
89,18,20,17,0,55
90,12,20,7,0,39
91,14,20,19,4,57
92,14,20,0,0,34
93,10,20,28,21,79
94,16,20,18,7,61
95,12,20,24,7,63
96,12,20,0,0,32
97,20,20,30,25,95
98,16,20,14,8,58
99,12,12,4,4,32
100,14,20,23,13,70
101,10,20,9,14,53
102,18,20,27,26,91
103,18,20,8,4,50
104,18,20,18,8,64
105,12,12,4,7,35
106,20,20,27,25,92
107,20,20,25,20,85
108,,,,,
109,,,,,
110,14,20,15,0,49
111,,,,,0
112,18,20,29,11,78
113,,,,,
114,18,20,10,11,59
115,16,20,23,9,68
116,10,20,16,11,57
117,10,20,0,0,30
118,14,20,4,0,38
119,16,12,27,8,63
120,18,20,7,4,49
121,10,20,14,4,48
122,14,20,6,11,51
123,18,20,6,6,50
124,,,,,
125,18,20,21,24,83
126,,,,,
127,,,,,
128,16,20,18,18,72
129,14,20,24,0,58
130,10,20,12,2,44
131,12,20,11,4,47
132,20,20,30,22,92
133,10,20,4,0,34
134,14,0,17,4,35
135,18,20,7,0,45
136,12,20,17,0,49
137,14,20,7,7,48
138,14,20,16,0,50
139,,,,,
140,10,0,0,0,10
